date,Cumulative_solar_power,kWh electricity/day,Gas/day
9/10/2013,7719,6,5
10/10/2013,7725,9,6
11/10/2013,7732,10,10
12/10/2013,7735,11,10
13/10/2013,7746,7,10
14/10/2013,7747,16,13
15/10/2013,7749,13,10
16/10/2013,7752,13,11
17/10/2013,7756,15,10
18/10/2013,7767,5,9
19/10/2013,7776,7,8
20/10/2013,7778,11,6
21/10/2013,7783,15,6
22/10/2013,7788,11,5
23/10/2013,7795,8,4
24/10/2013,7800,11,5
25/10/2013,7809,9,8
26/10/2013,7813,10,6
27/10/2013,7819,12,5
28/10/2013,7822,15,6
29/10/2013,7826,12,8
30/10/2013,7833,7,19
31/10/2013,7838,10,10
1/11/2013,7844,13,14
2/11/2013,7849,11,10
3/11/2013,7850,14,9
4/11/2013,7856,12,11
5/11/2013,7858,14,12
6/11/2013,7860,14,15
7/11/2013,7861,15,11
8/11/2013,7863,16,9
9/11/2013,7866,14,11
10/11/2013,7869,8,13
11/11/2013,7874,9,15
12/11/2013,7878,6,13
13/11/2013,7880,16,14
14/11/2013,7884,11,20
15/11/2013,7886,18,13
16/11/2013,7891,10,14
17/11/2013,7893,11,14
18/11/2013,7894,19,15
19/11/2013,7896,14,13
20/11/2013,7897,15,17
21/11/2013,7899,17,18
22/11/2013,7903,15,17
23/11/2013,7904,14,17
24/11/2013,7906,21,17
25/11/2013,7908,18,14
26/11/2013,7912,12,14
27/11/2013,7914,17,14
28/11/2013,7918,13,14
29/11/2013,7919,17,14
30/11/2013,7920,21,15
1/12/2013,7922,17,14
2/12/2013,7927,13,14
3/12/2013,7931,10,14
4/12/2013,7936,13,18
5/12/2013,7937,18,17
6/12/2013,7938,16,18
7/12/2013,7943,12,18
8/12/2013,7945,16,17
9/12/2013,7947,18,14
10/12/2013,7952,11,14
11/12/2013,7957,11,16
12/12/2013,7962,11,18
13/12/2013,7965,10,19
14/12/2013,7970,15,19
15/12/2013,7975,9,17
16/12/2013,7977,17,15
17/12/2013,7981,11,13
18/12/2013,7982,14,12
19/12/2013,7986,13,14
20/12/2013,7990,11,13
21/12/2013,7995,11,15
22/12/2013,7997,20,15
23/12/2013,7998,19,15
24/12/2013,7999.8,16,15
25/12/2013,8000,19,14
26/12/2013,8002,14,13
27/12/2013,8006,11,16
28/12/2013,8007,16,15
29/12/2013,8010,17,14
30/12/2013,8014,14,15
31/12/2013,8016,10,15
1/01/2014,8018,20,16
2/01/2014,8021,12,14
3/01/2014,8023,18,13
4/01/2014,8026,9,14
5/01/2014,8027,10,12
6/01/2014,8029,17,15
7/01/2014,8031,15,12
8/01/2014,8034,10,11
9/01/2014,8037,14,12
10/01/2014,8038,14,14
11/01/2014,8041,11,14
12/01/2014,8046,14,16
13/01/2014,8052,10,16
14/01/2014,8057,10,13
15/01/2014,8058,17,16
16/01/2014,8059,18,17
17/01/2014,8060,13,14
18/01/2014,8062,16,14
19/01/2014,8064,16,13
20/01/2014,8067,15,13
21/01/2014,8068,14,13
22/01/2014,8070,16,15
23/01/2014,8075,13,16
24/01/2014,8076,15,16
25/01/2014,8082,10,16
26/01/2014,8084,18,18
27/01/2014,8087,16,18
28/01/2014,8088,16,18
29/01/2014,8090,14,20
30/01/2014,8094,15,18
31/01/2014,8097,12,17
1/02/2014,8101,12,17
2/02/2014,8104,20,12
3/02/2014,8109,11,19
4/02/2014,8117,11,16
5/02/2014,8122,8,14
6/02/2014,8126,16,16
7/02/2014,8129,15,13
8/02/2014,8130,15,17
9/02/2014,8132,20,16
10/02/2014,8135,8,17
11/02/2014,8137,12,15
12/02/2014,8141,16,17
13/02/2014,8147,12,17
14/02/2014,8149,14,16
15/02/2014,8151,14,14
16/02/2014,8157,11,15
17/02/2014,8167,8,15
18/02/2014,8175,9,13
19/02/2014,8177,12,14
20/02/2014,8182,10,14
21/02/2014,8183,13,14
22/02/2014,8193,5,13
23/02/2014,8200,11,15
24/02/2014,8211,5,7
25/02/2014,8220,5,12
26/02/2014,8226,6,11
27/02/2014,8236,9,14
28/02/2014,8238,12,15
1/03/2014,8242,9,14
2/03/2014,8245,12,15
3/03/2014,8254,9,15
4/03/2014,8261,11,14
5/03/2014,8267,7,14
6/03/2014,8280,2,14
7/03/2014,8295,3,13
8/03/2014,8302,12,12
9/03/2014,8316,1,10
10/03/2014,8331,0,8
11/03/2014,8344,-3,8
12/03/2014,8359,2,7
13/03/2014,8378,4,9
14/03/2014,8386,2,9
15/03/2014,8402,1,9
16/03/2014,8406,11,12
17/03/2014,8423,0,9
18/03/2014,8430,8,9
19/03/2014,8434,9,11
20/03/2014,8449,3,9
21/03/2014,8467,-1,6
22/03/2014,8479,3,10
23/03/2014,8492,4,12
24/03/2014,8505,3,14
